PCA003	PRAÇA CARLOS GOMES
$C0080	R. JOSE LOUREIRO
$C008M	R. BENJAMIN CONSTANT
$E0300	R. FERNANDO AMARO
$E0150	R. SETE DE ABRIL
$C0100	R. MARECHAL DEODORO
$E4010	AV. MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO
$E3180	R. RAPHAEL PAPA
$E4300	AV. VICTOR FERREIRA DO AMARAL
$E4270	R. KONRAD ADENAUER
$E3620	R. JOSE VERISSIMO
$E337G	R. CORONEL DOMINGOS SOARES
$E3540	R. MARCO POLO
$E3450	R. JOSE DE OLIVEIRA FRANCO
$E3470	R. ADILIO RAMOS
$E3500	R. JOAO RAMALHO
$E3450	R. JOSE DE OLIVEIRA FRANCO
$E3540	R. MARCO POLO
$E337G	R. CORONEL DOMINGOS SOARES
$E3620	R. JOSE VERISSIMO
$E4270	R. KONRAD ADENAUER
$E4300	AV. VICTOR FERREIRA DO AMARAL
$E3180	R. RAPHAEL PAPA
$C0120	R. QUINZE DE NOVEMBRO
$C0230	R. JOAO NEGRAO
$C0100	R. MARECHAL DEODORO
$C0150	AL. DOUTOR MURICY
$C0080	R. JOSE LOUREIRO
